on	zapnout
Greater Than or Equal	Je větší nebo rovno
greater than or equal to	je větší nebo rovno
Is Greater Than Or Equal To	Je větší nebo rovno
Greater	Je větší
Is Proportional To	Je úměrné k
is being saved to	je ukládán do
User intervention necessary	Je třeba zásahu uživatele
Is Congruent To	Je shodno s
Is Parallel To	Je rovnoběžné k
is equal or greater than	je rovno nebo větší než
is equal or less than 	je rovno nebo menší než
equal to 	je rovno 
equal	je rovno
Equal	Je rovno
equal to	je rovno
Is Equal	Je rovno
is equal to	je rovno
is being prepared for printing on	je připravován pro tisk na
Is Approximately Equal	Je přibližně rovno
$2 fraction digits allowed at most.	Je povoleno nejvýše $2 desetinných číslic.
$2 digits allowed at most.	Je povoleno nejvýše $2 číslic.
Password must be confirmed	Je potřeba potvrdit heslo
Is Similar Or Equal	Je podobné nebo rovno
Is Similar To	Je podobné
Is Orthogonal To	Je ortogonální k
Is In	Je obsaženo
is null	je null
Is Null	Je null
Is Much Greater Than	Je mnohem větší než
Is Much Less Than	Je mnohem menší než
less than	je menší než
Is Less Than	Je menší než
is smaller than	je menší než
less than or equal	je menší nebo rovno
Less Than or Equal	Je menší nebo rovno
less than or equal to	je menší nebo rovno
Is Less Than Or Equal To	Je menší nebo rovno
Less	Je menší
%PRODUCTNAME Update Available	Je k dispozici aktualizace %PRODUCTNAME
The JDBC driver was loaded successfully.	JDBC ovladač byl úspěšně načten.
JDBC	JDBC
Languages	Jazyky
Language Settings	Jazyková nastavení
Language:	Jazyk:
Text language	Jazyk textu
No language set	Jazyk není nastaven
Language of complex scripts	Jazyk komplexních skriptů
Language of Asian font	Jazyk asijského písma
Language	Jazyk
Language	Jazyk
Language of	Jazyk
JavaScript	JavaScript
Javanese	Javánské
Java Runtime Environment	Java Runtime Environment
No Java Access Bridge	Java Access Bridge neexistuje
Java	Java
Bright Blue	Jasně modrá
Bright	Jasné
Brightness: 	Jas: 
Brightness:	Jas:
Brightness	Jas
Brightness	Jas
Japanese (Windows-932)	Japonština (Windows-932)
Japanese (Shift-JIS)	Japonština (Shift-JIS)
Japanese (ISO-2022-JP)	Japonština (ISO-2022-JP)
Japanese (EUC-JP)	Japonština (EUC-JP)
Japanese (Apple Macintosh)	Japonština (Apple Macintosh)
Japanese	Japonština
Japanese Postcard	Japonská pohlednice
Any record	Jakýkoliv záznam
Any day in the desired year	Jakýkoliv den v požadovaném roce
Any day in the desired month	Jakýkoliv den v požadovaném měsíci
How do you want your report to look?	Jaký vzhled sestavy si přejete?
What kind of report do you want to create?	Jaký typ sestavy chcete vytvořit?
As character	Jako znak
As Character	Jako znak
As Character	Jako znak
As character	Jako znak
As Data Sheet	Jako tabulka
As Page Style	Jako styl stránky
As table view	Jako pohled na tabulky
As Link	Jako odkaz
As one object	Jako jeden objekt
As icon	Jako ikona
As	Jako
like	jako
How to Start	Jak začít
What do you want to name your table?	Jak si přejete pojmenovat svou tabulku?
As stated in document	Jak je uvedeno v dokumentu
How do you want to label the fields?	Jak chcete pojmenovat pole?
Iterative references	Iterační odkazy
Iteration:	Iterace:
Iterations	Iterace
Italian (Italy)	Italština (Itálie)
Italian	Italština
Italian Lira	Italská lira
ISTEXT	ISTEXT
Issued to	Issued by
ISREF	ISREF
ISPMT	ISPMT
ISODD	ISODD
ISNUMBER	ISNUMBER
ISNONTEXT	ISNONTEXT
ISNA	ISNA
ISLOGICAL	ISLOGICAL
ISLEAPYEAR	ISLEAPYEAR
Icelandic	Islandština
ISFORMULA	ISFORMULA
ISEVEN	ISEVEN
ISERROR	ISERROR
ISERR	ISERR
ISBN	ISBN
ISBN	ISBN
ISBLANK	ISBLANK
Irish	Irština
Irish Punt	Irská libra
IPMT	IPMT
iota	iota
IOTA	IOTA
InvestmtID	InvestID
InvestmentID	InvesticeID
invest	investice
Investment	Investice
Investments	Investice
InventryID	InventID
InventoryID	InventářID
HouseholdInventory	Inventář
INTRATE	INTRATE
Intervals	Intervaly
Group Interval	Interval seskupení
Number range	Interval číslování
Interval	Interval
Intersection	Intersection
Punctuation Mark	Interpunkční znaménko
Punctuation characters	Interpunkční znaky
Punctuation	Interpunkce
Interpret as years between	Interpretovat jako roky mezi
Interpret as years between 	Interpretovat jako roky mezi
Interpret stream data as	Interpretovat data z proudu jako
Interpolation:	Interpolace:
Internal error $(ARG1).	Interní chyba $(ARG1).
Internal	Interní
Internet	Internetu
Internet Link	Internetový odkaz
Internet	Internet
Internet	Internet
Interlingua	Interlingua
Interchange (EPSI)	Interchange (EPSI)
INTERCEPT	INTERCEPT
Interactive gradient for %1	Interaktivní přechod barev pro %1
Interactive transparency for %1	interaktivní průhlednost pro %1
Interaction...	Interakce...
Interaction	Interakce
Intensity	Intenzita
Smart Tags	Inteligentní značky
Intel Indeo Video (*.ivf)	Intel Indeo Video (*.ivf)
Integral Sup/Sub script	Integrál s indexem nahoře a dole
Integral Superscript Top	Integrál s indexem nahoře
Integral Subscript Top	Integrál s indexem dole
Integral	Integrál
TDE Integration	Integrace TDE
KDE Integration	Integrace s KDE
GNOME Integration	Integrace s GNOME
Desktop integration	Integrace s desktopovým prostředím
INT	INT
DDE Statement	Instrukce DDE
Institution	Instituce
Institution	Instituce
Link instance	Instance odkazu
Instance	Instance
Instances	Instance
Installing extensions...	Instalují se rozšíření...
Install this application for:	Instalovat tuto aplikaci:
Install later	Instalovat později
Install now	Instalovat nyní
Install to:	Instalovat do:
Install [ProductName] to:	Instalovat [ProductName] do:
Install	Instalovat
&Install	Instalovat
Install	Instalovat
Installed printers	Instalované tiskárny
Installer is no longer responding.	Instalační služba nereaguje.
Installer terminated prematurely.	Instalační služba byla předčasně ukončena.
Click Install to start the installation	Instalaci spustíte kliknutím na tlačítko Instalovat.
Click the icon to start the installation.	Instalaci spustíte kliknutím na ikonu.
Installing system catalog	Instalace systémového katalogu
Installation failed.	Instalace selhala.
Installation operation failed.	Instalace selhala.
Installing Wiki Publisher	Instalace Publikování na MediaWiki
Driver Installation	Instalace ovladače
Installing new services	Instalace nových služeb
Installation might take a minute...	Instalace může trvat trochu déle...
Installing ODBC components	Instalace komponent ODBC
Installing a Language Pack	Instalace jazykového balíčku
Installation finished	Instalace dokončena
{[ProductName] }Setup failed.	Instalace {[ProductName] }se nezdařila.
Inspiration	Inspirace
Insert Drag and Drop	Insert Drag and Drop
Initials	Iniciály
Drop Caps	Iniciály
Initializing...	Inicializace...
Initializing ODBC directories	Inicializace adresářů ODBC
Initializing	Inicializace
Drop Caps over	Iniciála nad
Save AutoRecovery information every	Informace pro automatické obnovení uložit každých
User information	Informace o uživateli
Web site information	Informace o stránkách
Column information	Informace o sloupci
Field information	Informace o polích
Image Information	Informace o obrázku
License Information...	Informace o licenci...
Chapter info	Informace o kapitole
Chapter info	Informace o kapitole
DocInformation	Informace o dokumentu
Doc.Information	Informace o dokumentu
Document Information	Informace o dokumentu
Copyright notice:	Informace o copyrightu:
 Certificate Information	Informace o certifikátu
Current Slide Info	Informace o aktuálním snímku
Information for the title page	Informace na titulní stránku
Info %1	Informace %1
Info [1].	Informace [1].
Info	Informace
infotype	informace
Information	Informace
INFO	INFO
Chapter info	Inf. o kapitole
Industrial	Industrial
Indonesian	Indonéština
INDIRECT	INDIRECT
Layer Indicator	Indikátor vrstev
Script indicator	Indikátor skriptu
Script Indicator	Indikátor skriptu
Comment indicator	Indikátor komentáře
Indexes...	Indexy...
Table indexes	Indexy tabulky
Indexes	Indexy
Indexes	Indexy
List index	Index seznamu
The index must contain at least one field.	Index musí obsahovat alespoň jedno pole.
Index out of range.	Index mimo rozsah.
Index out of defined range.	Index mimo definovaný rozsah.
index	index
Index	Index
INDEX	INDEX
in|	in|
IMTAN	IMTAN
IMSUM	IMSUM
IMSUB	IMSUB
IMSQRT	IMSQRT
IMSINH	IMSINH
IMSIN	IMSIN
IMSECH	IMSECH
IMSEC	IMSEC
IMREAL	IMREAL
IMPRODUCT	IMPRODUCT
Impress 8	Impress 8
IMPOWER	IMPOWER
Importing Images...	Importují se obrázky...
Importing graphics...	Importují se obrázky...
Importing	Importuje se
Import...	Importovat...
Import...	Importovat...
Import from:	Importovat z:
Import Formula...	Importovat vzorec...
Import printers from old versions	Importovat tiskárny ze starší verze
Import text files	Importovat textový soubor
Import Template...	Importovat šablonu...
Import Lotus files	Importovat soubory Lotus
Dif Import	Importovat soubor Dif
Import DBase files	Importovat soubor DBase
Import File	Importovat soubor
Import unknown HTML tags as fields	Importovat neznámé HTML značky jako pole
Import Libraries	Importovat knihovny
Import Dialog	Importovat dialog
Import Data	Importovat data
Import	Importovat
Import	Importovat
Importing data...	Importování dat...
ImportedTemplates	Importovanéšablony
import/export filter	importní/exportní filtr
TGA TrueVision TARGA Import Filter	Importní filtr TGA TrueVision TARGA
Kodak Photo-CD Import Filter	Importní filtr Kodak Photo-CD
AutoCAD Import Filter	Importní filtr AutoCAD
Adobe Photoshop Import Filter	Importní filtr Adobe Photoshop
import filter	importní filtr
SUN Rasterfile Import/Export	Importní a exportní filtr SUN Rasterfile
SUN Rasterfile Import/Export Filters	Importní a exportní filtr SUN Rasterfile
Portable Bitmap Import/Export	Importní a exportní filtr PBM
Portable Bitmap Import/Export Filters	Importní a exportní filtr PBM
Mac-Pict Import/Export Filters	Importní a exportní filtr Mac-Pict
EPS Import/Export Filter	Importní a exportní filtr EPS
OS/2 Metafile Import/Export	Import/Export OS/2 Metafile
Mac-Pict Import/Export	Import/Export Mac-Pict
Z-Soft PCX Import	Import Z-Soft PCX
PowerPoint Import	Import z PowerPointu
TIFF Import/Export	Import TIFF
TGA Import	Import TGA
Text Import	Import textu
PDF Import	Import PDF
PCX Import	Import PCX
Kodak Photo-CD Import	Import Kodak Photo-CD
Small Device Format Importer	Import formátů pro malá zařízení
Dialog Import - Language Mismatch	Import dialogu - nekompatibilní jazyky
Dialog Import - Name already used	Import dialogu - název je již použit
Database import terminated.	Import databáze zastaven.
AutoCAD Import	Import AutoCAD
Import	Import
IMLOG2	IMLOG2
IMLOG10	IMLOG10
IMLN	IMLN
IMEXP	IMEXP
IMDIV	IMDIV
IMCSCH	IMCSCH
IMCSC	IMCSC
IMCOT	IMCOT
IMCOSH	IMCOSH
IMCOS	IMCOS
IMCONJUGATE	IMCONJUGATE
IMARGUMENT	IMARGUMENT
IMAP	IMAP
IMAGINARY	IMAGINARY
Imaginary Part	Imaginární část
IMABS	IMABS
I num	Im číslo
Illustration	Ilustrace
Icons in menus	Ikony v nabídkách
Icons in menus	Ikony v nabídkách
Icons & Text	Ikony a text
Icons & Text	Ikony a text
Icons	Ikony
File format icon	Ikona formátu souboru
Icon	Ikona
Mar	III.
Feb	II.
Ignore All	Ignorovat vždy
Ignore All	Ignorovat vždy
Ignore all Updates	Ignorovat všechny aktualizace
Always Ignore	Ignorovat vše
Ignore system input language	Ignorovat vstupní jazyk systému
Ignore post-positional word	Ignorovat příklonné slovo
Ignore empty rows	Ignorovat prázdné řádky
Ignore Rule	Ignorovat pravidlo
Ignore font settings	Ignorovat nastavení písem
Ignore Once	Ignorovat jednou
Ignore currency field information	Ignorovat informace pole měny
Ignore pieces of length	Ignorovat fragmenty s délkou
Ignore double spaces	Ignorovat dvojité mezery
Ignore diacritics CTL	Ignorovat diakritiku CTL
Ignore this Update	Ignorovat aktualizaci
Ignore  and ` at the end of the line	Ignorovat  a ` na konci řádku
Ignore  and ` at the end of the line	Ignorovat  a ` na konci řádku
Ignore	Ignorovat
Ignore	Ignorovat
IFNA	IFNA
IFERROR	IFERROR
Ideographic Description Characters	Ideografické popisné znaky
Identify categories	Identifikovat kategorie
Index identifier:	Identifikátor indexu:
Identifier	Identifikátor
Theme ID	Identifikace tématu
identical	identical
ID: 	ID: 
Class ID: [1]	ID třídy: [1]
Class ID	ID třídy
Build ID: $BUILDID	ID sestavení: $BUILDID
Help ID	ID nápovědy
ia/iya (piano/piyano)	ia/iya (piano/piyano)
Device I/O error.	I/O chyba zařízení.
Jan	I.
Smart	Chytře
Errors	Chyby
Error(s)	Chyby
Z Error Bars	Chybové úsečky Z
Y Error Bars...	Chybové úsečky Y...
Y Error Bars	Chybové úsečky Y
Y-Error-Bars	Chybové úsečky Y
X Error Bars...	Chybové úsečky X...
X Error Bars	Chybové úsečky X
X-Error-Bars	Chybové úsečky X
Error message:	Chybové hlášení:
Error Alert	Chybové hlášení
Error message	Chybové hlášení
The error message is: 	Chybová zpráva je: 
Error Category	Chybová kategorie
Invalid cursor state.	Chybný stav kurzoru.
Invalid string pattern.	Chybný řetězcový vzorek.
Wrong parameter	Chybný parametr
Wrong check amount.	Chybný kontrolní součet.
Invalid column index.	Chybný index sloupce.
File format error found.	Chybný formát souboru.
Wrong table formula	Chybné vzorce v tabulkách
Wrong environment	Chybné prostředí
Wrong Version	Chybná verze
Faulty Java Installation	Chybná instalace Javy
The bookmark 'Recipient' is missing.	Chybí složka 'Příjemci'.
Required argument lacking.	Chybí požadovaný argument.
Missing Java Configuration	Chybí konfigurace Javy
Error: Reference source not found	Chyba: zdroj odkazu nenalezen
Error: Calculation does not converge	Chyba: Výpočet nekonverguje
Error: Internal overflow	Chyba: Vnitřní přetečení
Error: Ranges do not intersect	Chyba: Rozsahy se neprotínají
Error: Formula overflow	Chyba: Přetečení vzorce
Error: String overflow	Chyba: Přetečení řetězce
Error: Invalid character	Chyba: Neplatný znak
Error: Invalid semicolon	Chyba: Neplatný středník
Error: Invalid name	Chyba: Neplatný název
Error: Invalid argument	Chyba: Neplatný argument
Error: Invalid numeric value	Chyba: Neplatná číselná hodnota
Error: Macro not found	Chyba: Makro nenalezeno
Error: Variable missing	Chyba: Chybí proměnná
Error: Operator missing	Chyba: Chybí operátor
Error: Value not available	Chyba: Hodnota není dostupná
Error: Division by zero	Chyba: Dělení nulou
Error: Circular reference	Chyba: Cyklický odkaz
Err:	Chyba:
ERROR: 	CHYBA:
Error during evaluation	Chyba ve vyhodnocování
Input file error.	Chyba ve vstupním souboru.
Trace Error	Chyba ve sledování
SQL syntax error	Chyba v syntaxi SQL
Error in parameter list	Chyba v seznamu parametrů
Compile Error: 	Chyba v kompilaci: 
Function sequence error.	Chyba sekvence funkcí.
Write Error	Chyba při zápisu
Read-Error	Chyba při čtení
Runtime Error: #	Chyba při běhu: #
OLE Automation Error.	Chyba OLE automatizace.
Space mistake	Chyba ohledně mezer
Wrong DLL call convention.	Chyba konvence volání DLL.
Detective error	Chyba detektiva
%PRODUCTNAME Error	Chyba %PRODUCTNAME
Error [1].	Chyba [1].
Error (in line %s)	Chyba (na řádku %s)
ERROR : 	CHYBA : 
Error	chyba
Error	Chyba
Chrome	Chróm
Behavior of rows/columns	Chování řádků/sloupců
Croatian	Chorvatština
CHOOSE	CHOOSE
CHITEST	CHITEST
CHISQINV	CHISQINV
CHISQDIST	CHISQDIST
CHISQ.TEST	CHISQ.TEST
CHISQ.INV.RT	CHISQ.INV.RT
CHISQ.INV	CHISQ.INV
CHISQ.DIST.RT	CHISQ.DIST.RT
CHISQ.DIST	CHISQ.DIST
CHIINV	CHIINV
CHIDIST	CHIDIST
Chi Squared	Chí kvadrát
chi	chi
CHI	CHI
Chemistry - Amino acids	Chemie – aminokyseliny
Do you want to delete the entry?	Chcete tuto položku smazat?
Do you want to delete the data source '%1'?	Chcete smazat zdroj dat '%1'?
Do you want to delete the selected data?	Chcete smazat vybraná data?
Do you want to delete the arrowhead?	Chcete smazat tuto šipku?
Do you want to delete the color?	Chcete smazat tuto barvu?
Do you want to delete the hatching?	Chcete smazat toto šrafování?
Do you want to delete the line style?	Chcete smazat tento styl čáry?
Do you want to delete the following object?	Chcete smazat tento objekt?
Do you want to delete the gradient?	Chcete smazat tento barevný přechod?
Do you want to delete the table '%1'?	Chcete smazat tabulku '%1'?
Do you want to delete the line style?	Chcete smazat daný styl čáry?
Do you want to delete the gradient?	Chcete smazat daný barevný přechod?
Do you want to delete the color?	Chcete smazat danou barvu?
Do you want to delete the hatching?	Chcete smazat dané šrafování?
Continue anyway?	Chcete přesto pokračovat?
Do you want to overwrite the XX macro?	Chcete nahradit makro XX?
Do you want to create a query instead?	Chcete místo toho vytvořit dotaz?
Do you want to restart %PRODUCTNAME now?	Chcete %PRODUCTNAME restartovat nyní?
Do you want to	Chcete
Chart 8	Chart 8
CHAR	CHAR
Khanty	Chantyjština
HYPGEOMDIST	HYPGEOMDIST
HYPGEOM.DIST	HYPGEOM.DIST
Hyperlink...	Hypertextový odkaz...
Hyperlink.	Hypertextový odkaz.
Hyperlink	Hypertextový odkaz
Hyperlink	Hypertextový odkaz
Open Hyperlink	Hypertextový odkaz
Hyperlinks	Hypertextové odkazy
HYPERLINK	HYPERLINK
Hyperbolic Tangent	Hyperbolický tangens
Hyperbolic Sine	Hyperbolický sinus
Hyperbolic Cotangent	Hyperbolický kotangens
Hyperlink	Hyper. odkaz
HYP	HYP
Stars and Banners	Hvězdy a cedule
Stars	Hvězdy
Human	Human
MusicCatID	HudKatID
MusicCategoryID	HudebníKategorieID
